Stocks,Sharpe Ratio,Minimum Risk
MMM,0.0,0.006216045848642904
AOS,0.0,0.0
AYI,1.7540989775097722e-15,3.9680105447074954e-17
ALK,0.0,9.471014196429234e-17
ALLE,0.0,0.05242103149008562
AAL,0.0,4.5101116309502476e-17
AME,0.0,5.0018989601260944e-17
ARNC,0.0,1.2401748193929113e-16
BA,0.0,0.0
CHRW,1.5415699822859624e-15,0.010905701277512522
CAT,0.0,0.0
CTAS,0.0,0.0
CSX,4.215820432130352e-16,3.1108132020861434e-17
CMI,5.527036494073483e-16,3.737278769875424e-17
DE,8.841528985051616e-17,1.877533230883882e-17
DAL,1.0938037736019628e-15,0.0
DOV,0.0,0.0
ETN,0.0,0.0
EMR,0.0,0.0
EFX,0.0,3.130633773051894e-18
EXPD,6.0629725331579e-16,4.047123421981047e-18
FAST,0.0,6.949905332221534e-17
FDX,0.0,0.0
FLS,0.0,0.0
FLR,0.0,0.0
FTV,0.0,1.4738373282224826e-17
FBHS,0.03227947350538915,0.0
GD,0.0,0.0
GE,0.0,0.0
GWW,1.3714251621898769e-15,5.212640757402964e-17
HON,0.0,6.954140496957806e-18
HII,0.21759513472378172,0.05229612254217307
INFO,0.05815970634404341,0.06566994277450192
ITW,0.0,0.0
IR,0.0,0.0
JBHT,1.8171257971917297e-15,0.0
JEC,0.0,2.1155494890623405e-17
JCI,0.0,0.0
KSU,7.845099173567835e-16,0.0
LLL,0.006760262222109256,0.09020642078800088
LMT,0.12276352832150933,0.024696274800342217
MAS,0.0,0.0
NLSN,0.0,0.05905559346582046
NSC,1.6768263048711762e-15,0.0
NOC,0.0,0.0
PCAR,0.0,1.3152727604964776e-17
PH,0.0,7.343775652694784e-18
PNR,0.0,0.0
PWR,0.0,1.4075993517471963e-17
RTN,0.0,0.0
RSG,0.006664988168005825,0.04989264714270412
RHI,0.0,0.0
ROK,0.0,0.0
COL,0.05725029084563585,0.1478925921158483
ROP,1.6227179607576684e-15,9.35802000126551e-18
LUV,1.0573183414472012e-16,0.0
SRCL,9.384984700787751e-16,0.005091550847252321
TXT,0.0,2.0875974018029486e-17
TDG,0.15994781348369622,8.843023969334896e-19
UNP,0.0,0.0
UAL,3.1151487547096996e-15,5.866550192683284e-18
UPS,0.0,0.0991525351062402
URI,0.0,5.0042706523784064e-17
UTX,0.0,0.0
VRSK,0.3348243998838691,0.22812527933403928
WM,0.0037544025020793013,0.08212075024381393
XYL,1.02701579370059e-15,0.02625751222302251
